0,HUAWEI Pura 70 雪域白 12GB+1TB 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能手机,12GB+1TB,https://item.jd.com/100095516761.html,满1000减100,6499.00
1,HUAWEI Pura 70 Pro 羽砂黑 12GB+1TB 超高速风驰闪拍 超聚光微距长焦 华为P70智能手机,12GB+1TB,https://item.jd.com/100108284490.html,满1000减100,7199.00
2,华为畅享 70 Pro 1亿像素超清影像40W超级快充5000mAh大电池长续航 256GB 曜金黑 鸿蒙智能手机,256GB,https://item.jd.com/100081500557.html,满880减50,1599.00
3,HUAWEI Pura 70 Pro+ 魅影黑 16GB+1TB 超高速风驰闪拍 超聚光微距长焦 双卫星通信 华为P70智能手机,16GB+1TB,https://item.jd.com/100095516759.html,满1000减100,8199.00
4,华为nova 12 100W智能快充Turbo 前置6000万4K超广角人像 512GB 曜金黑 鸿蒙智慧通信华为智能手机,512GB,https://item.jd.com/100078738941.html,满880减50,3299.00
5,HUAWEI Pura 70 Pro 羽砂黑12GB+512GB 超高速风驰闪拍 超聚光微距长焦 华为P70智能手机,12GB+512GB,https://item.jd.com/100108284490.html,满1000减100,6199.00
6,HUAWEI Pura 70 雪域白 12GB+512GB 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能手机,12GB+512GB,https://item.jd.com/100095516761.html,满1000减100,5499.00
7,华为畅享 70 Pro 1亿像素超清影像40W超级快充5000mAh大电池长续航 128GB 曜金黑 鸿蒙智能手机,128GB,https://item.jd.com/100081500557.html,满880减50,1399.00
8,HUAWEI Pura 70 Pro+ 魅影黑 16GB+512GB 超高速风驰闪拍 超聚光微距长焦 双卫星通信 华为P70智能手机,16GB+512GB,https://item.jd.com/100095516759.html,满1000减100,7199.00
9,华为nova 12 100W智能快充Turbo 前置6000万4K超广角人像 256GB 曜金黑 鸿蒙智慧通信华为智能手机,256GB,https://item.jd.com/100078738941.html,满880减50,2899.00
10,HUAWEI Pura 70 雪域白 12GB+256GB 超高速风驰闪拍 第二代昆仑玻璃 双超级快充 华为P70智能手机,12GB+256GB,https://item.jd.com/100095516761.html,满1000减100,4999.00
11,HUAWEI Pura 70 Pro 羽砂黑 12GB+256GB 超高速风驰闪拍 超聚光微距长焦 华为P70智能手机,12GB+256GB,https://item.jd.com/100108284490.html,满1000减100,5699.00
12,华为（HUAWEI）Mate 60 Pro雅丹黑12GB+256GB 卫星通话 超可靠玄武架构 全焦段超清影像 旗舰鸿蒙智能手机,12GB+256GB,https://item.jd.com/100064695862.html,暂无优惠,6499.00
13,华为（HUAWEI）Mate 60 Pro雅丹黑12GB+512GB 卫星通话 超可靠玄武架构 全焦段超清影像 旗舰鸿蒙智能手机,12GB+512GB,https://item.jd.com/100064695862.html,暂无优惠,6999.00
14,华为/HUAWEI nova 11 SE前后双高清摄像手机 一亿像素光影人像 256GB 雪域白 华为鸿蒙智能手机,256GB,https://item.jd.com/100072047206.html,满880减50,1599.00
15,华为nova 12活力版 6.88mm超薄潮美直屏前置6000万超广角拍照256GB 12号色华为鸿蒙智能手机nova系列,256GB,https://item.jd.com/100082431996.html,满880减50,2299.00
16,华为畅享 70 6000mAh大电池 长续航 畅享X键一键直达 128GB 翡冷翠 鸿蒙智能手机HUAWEI,128GB,https://item.jd.com/100076513603.html,满880减50,1099.00
17,华为/HUAWEI nova 11 SE前后双高清摄像手机 一亿像素光影人像 512GB 雪域白 华为鸿蒙智能手机,512GB,https://item.jd.com/100072047206.html,满880减50,1799.00
18,华为nova 12活力版 6.88mm超薄潮美直屏前置6000万超广角拍照 512GB 12号色 鸿蒙智能手机nova系列,512GB,https://item.jd.com/100082431996.html,满880减50,2599.00
19,华为畅享 70 6000mAh大电池 长续航 畅享X键一键直达 256GB 翡冷翠 鸿蒙智能手机HUAWEI,256GB,https://item.jd.com/100076513603.html,满880减50,1299.00
20,华为（HUAWEI）旗舰手机 Mate 60 12GB+256GB 雅丹黑,12GB+256GB,https://item.jd.com/100066930471.html,暂无优惠,5499.00
21,华为（HUAWEI） Mate 60 Pro雅丹黑12GB+1TB 卫星通话 超可靠玄武架构 全焦段超清影像 旗舰鸿蒙智能手机,12GB+1TB,https://item.jd.com/100064695862.html,暂无优惠,7999.00
22,华为（HUAWEI）Mate X5 折叠屏手机 12GB+256GB 羽砂黑,12GB+256GB,https://item.jd.com/100066168990.html,暂无优惠,12999.00
23,华为（HUAWEI）旗舰手机 Mate 60 12GB+512GB 雅丹黑,12GB+512GB,https://item.jd.com/100066930471.html,暂无优惠,5999.00
24,HUAWEI Pura 70 Ultra 星芒黑 16GB+1TB 超聚光伸缩摄像头 超高速风驰闪拍 华为P70智能手机,16GB+1TB,https://item.jd.com/100108118338.html,满1000减100,9999.00
25,华为（HUAWEI） Mate X5 折叠屏手机 12GB+512GB 羽砂黑,12GB+512GB,https://item.jd.com/100066168990.html,暂无优惠,13999.00
26,华为畅享 70z 6000mAh 长续航 HarmonyOS 4 流畅安全 幻夜黑 128GB 鸿蒙智能手机HUAWEI,128GB,https://item.jd.com/100097037908.html,满880减50,899.00
27,HUAWEI Pura 70 Ultra 星芒黑 16GB+512GB 超聚光伸缩摄像头 超高速风驰闪拍 华为P70智能手机,16GB+512GB,https://item.jd.com/100108118338.html,满1000减100,8999.00
28,华为畅享 70S 6.75英寸AOD护眼大屏 畅享X键常用功能一步直达8GB+256GB曜金黑 鸿蒙智能手机,8+256GB,https://item.jd.com/100116424194.html,满880减50,1349.00
29,华为（HUAWEI） Mate X5 折叠屏手机 16GB+512GB 羽砂黑,16GB+512GB,https://item.jd.com/100066168990.html,满1000减100,13499.00
30,华为畅享 70z 6000mAh 长续航 HarmonyOS 4 流畅安全 幻夜黑 256GB 鸿蒙智能手机HUAWEI,256GB,https://item.jd.com/100097037908.html,满880减50,1099.00
31,华为（HUAWEI） Mate X5 典藏版 折叠屏手机 16GB+512GB 羽砂黑,16GB+512GB 典藏版,https://item.jd.com/100066168990.html,满1000减100,14999.00
32,华为畅享 70S 6.75英寸AOD护眼大屏 畅享X键常用功能一步直达8GB+128GB曜金黑 鸿蒙智能手机,8+128GB,https://item.jd.com/100116424194.html,满880减50,1149.00
33,华为（HUAWEI）旗舰手机 Mate 60 12GB+1TB 雅丹黑,12GB+1TB,https://item.jd.com/100066930471.html,暂无优惠,6999.00
34,华为（HUAWEI） Mate X5 典藏版 折叠屏手机 16GB+1TB 羽砂黑,16GB+1TB 典藏版,https://item.jd.com/100066168990.html,满1000减100,15999.00
35,华为畅享 60X 7000mAh长续航 6.95英寸 影音大屏 128GB 皓月银 鸿蒙智能手机HUAWEI,128GB,https://item.jd.com/100049592416.html,暂无优惠,1099.00
36,华为（HUAWEI）旗舰手机 Mate 60 RS 非凡大师 16GB+512GB 瑞红 ULTIMATE DESIGN,16GB+512GB,https://item.jd.com/100069675499.html,满1000减100,11199.00
37,华为（HUAWEI）旗舰手机 Mate 60 RS 非凡大师 16GB+1TB 瑞红 ULTIMATE DESIGN,16GB+1TB,https://item.jd.com/100069675499.html,满1000减100,12199.00
38,华为（HUAWEI）旗舰手机 Mate 60 Pro+ 16GB+512GB 宣白,16GB+512GB,https://item.jd.com/100067903671.html,满1000减100,8999.00
39,华为畅享 60X 7000mAh长续航 6.95英寸 影音大屏 256GB 皓月银 鸿蒙智能手机HUAWEI,256GB,https://item.jd.com/100049592416.html,暂无优惠,1299.00
40,华为nova 12 Pro前置6000万人像追焦双摄512GB曜金黑物理可变光圈鸿蒙智慧通信华为智能手机nova系列,512GB,https://item.jd.com/100078738965.html,满880减50,4299.00
